CaseID,x,y,color,degree,prominence,clustering,neighbors,closeness,betweenness
Bahorel,0.7063716617852823,0.25572667347145733,1,12,0.22156113835044214,0.8636363636363636,12.75,0.3937823832156568,0.0021854883087570067
Joly,0.7222990826205926,0.24301926192113157,1,12,0.22156113835044214,0.8636363636363636,12.75,0.3937823832156568,0.0021854883087570067
Feuilly,0.7170067389299597,0.24666160185766706,1,11,0.21074162772216395,0.9272727272727272,13.363636363636363,0.3917525771176533,0.0012501455659350395
Combeferre,0.7283884598724758,0.24046758262043258,1,11,0.21074162772216395,0.9272727272727272,13.363636363636363,0.3917525771176533,0.0012501455659350395
Brujon,0.6316672078138778,0.2487946445698003,NaN,7,0.10128284818835522,0.9047619047619048,12.571428571428571,0.37999999981,4.385964912280702E-4
MmePontmercy,0.74557254318153,0.06341072948126004,NaN,2,0.008420393481742757,0,5,0.31535269696458396,3.508771929824561E-4
Magnon,0.6412450242293695,0.0850314492749829,NaN,2,0.015631657936923192,0,9,0.3348017619670477,2.1720969089390144E-4
Grantaire,0.7268240284039652,0.2533840330010583,1,10,0.18664218268542118,0.9333333333333333,12.5,0.35849056586863653,1.5037593984962405E-4
Jondrette,1,0.49753216962312297,1,1,0.002220520916909204,0,2,0.25675675667001463,0
MotherPlutarch,0.8601857065898223,0.24737338238120726,1,1,0.01624506943805577,0,11,0.28464419464994606,0
Gribier,0.2793921169230844,0.20502806444021404,NaN,1,0.0033355774742471335,0,4,0.2878787877697429,0
OldMan,0.05754404332977987,0.610821153258097,3,1,0.002343251680806547,0,10,0.3015873014676241,0
Champtercier,0.03833971315275819,0.5951598382207703,3,1,0.002343251680806547,0,10,0.3015873014676241,0
Cravatte,0.1082148195931596,0.632108943517498,3,1,0.002343251680806547,0,10,0.3015873014676241,0
Napoleon,0.0039945262095139435,0.5415047625038312,3,1,0.002343251680806547,0,10,0.3015873014676241,0
Geborand,6.321122234825095E-4,0.47141332619499693,3,1,0.002343251680806547,0,10,0.3015873014676241,0
CountessDeLo,0,0.49753216962312297,3,1,0.002343251680806547,0,10,0.3015873014676241,0
Count,0.013999803325308547,0.5609081329349098,3,1,0.0023432516808065467,0,10,0.3015873014676241,0
MlleVaubois,0.7416326413244801,0.005459195105605857,NaN,1,0.005261391042340167,0,7,0.3076923075677359,0
Perpetue,0.4821080423273317,0.04810839763988732,2,2,0.011311536290311293,1,9.5,0.3179916316661123,0
Listolier,0.5964082823869058,0.013177449941089112,2,7,0.01968309280246028,1,8.428571428571429,0.34080717473506406,0
Blacheville,0.5798649624671312,0,2,7,0.01968309280246028,1,8.428571428571429,0.34080717473506406,0
Favourite,0.6036392798038656,0.01898412854213381,2,7,0.01968309280246028,1,8.428571428571429,0.34080717473506406,0
Fameuil,0.564629886074337,0.008561997829978298,2,7,0.01968309280246028,1,8.428571428571429,0.34080717473506406,0
Zephine,0.5750055324167787,0.003242845896214234,2,7,0.01968309280246028,1,8.428571428571429,0.34080717473506406,0
Dahlia,0.5719484639261037,0.002281638146237381,2,7,0.01968309280246028,1,8.428571428571429,0.34080717473506406,0
Boulatruelle,0.7537496642913895,0.1432195638536513,NaN,1,0.015642441742354237,0,16,0.3423423421881341,0
Child1,0.7814301065472605,0.3528016623741701,1,2,0.028879550906976394,1,12,0.3423423421881341,0
Child2,0.8018449519742811,0.32302781290518245,1,2,0.02887955090697639,1,12,0.3423423421881341,0
BaronessT,0.7261961553990581,0.1216186535412228,NaN,2,0.02702938867111125,1,13,0.3518518516889575,0
Anzelma,0.6671077950647042,0.15826948387593295,NaN,3,0.03764931456493805,1,12.666666666666666,0.3518518516889575,0
MmeHucheloup,0.7115205287112658,0.27494495458182194,1,7,0.14071590391179692,1,13.857142857142858,0.35348837192861005,0
Prouvaire,0.7160060208972437,0.26528728211022334,1,9,0.17582267205714305,1,13.222222222222221,0.35680751156957397,0
LtGillenormand,0.6918960269533904,0.12573280450378288,NaN,4,0.0415389795703327,1,11,0.3653846152089497,0
Labarre,0.454828771850802,0.35308110666345144,NaN,1,0.02228985851817419,0,36,0.3937823832156568,0
MmeDeR,0.47112290102703824,0.3644051471544787,NaN,1,0.02228985851817419,0,36,0.3937823832156568,0
Isabeau,0.5107370119179504,0.3683237318072097,NaN,1,0.02228985851817419,0,36,0.3937823832156568,0
Scaufflaire,0.4169225206759841,0.3311210585899095,NaN,1,0.02228985851817419,0,36,0.3937823832156568,0
Gervais,0.3953973482862826,0.3016478834704766,NaN,1,0.02228985851817419,0,36,0.3937823832156568,0
Woman1,0.5132504928491616,0.2846235950811242,NaN,2,0.03763386485423054,1,26.5,0.3958333331271702,0
MotherInnocent,0.39071157716913846,0.2584429633903615,NaN,2,0.025625435992421335,1,20,0.39790575895397606,0
Woman2,0.5084269479788253,0.1875588627373544,NaN,3,0.0468820647111117,1,21.333333333333332,0.4021164019036421,0
Toussaint,0.5239625054572827,0.15794246108600807,NaN,3,0.0468820647111117,1,21.333333333333332,0.4021164019036421,0
Judge,0.4470188903911846,0.23229071953483743,NaN,6,0.04120494201808945,1,11.333333333333334,0.40425531893390676,0
Brevet,0.44963441482781646,0.22740653196068925,NaN,6,0.04120494201808944,1,11.333333333333334,0.40425531893390676,0
Chenildieu,0.43312837095957873,0.20684944100013483,NaN,6,0.04120494201808944,1,11.333333333333334,0.40425531893390676,0
Cochepaille,0.4520314385044753,0.1960705804814612,NaN,6,0.04120494201808944,1,11.333333333333334,0.40425531893390676,0
Champmathieu,0.4535758397928638,0.23962286429360422,NaN,6,0.04120494201808944,1,11.333333333333334,0.40425531893390676,0
Marguerite,0.4731011386655085,0.11729556436310835,2,2,0.029765586928672275,1,25.5,0.4130434780363894,0
MmeMagloire,0.2692220709002409,0.3961534022571006,3,3,0.026871312876632806,1,16.333333333333332,0.4130434780363894,0
MlleBaptistine,0.2755160356121636,0.4063253054107771,3,3,0.026871312876632806,1,16.333333333333332,0.4130434780363894,0
